,ctrnum,ctryear,country,year,wave,ctrwave,CulZon,EVI,EVI_short,EVI_culmap,SVI,SVI_short,SVI_culmap,EV_choice,EV_voice,EV_equality,EV_autonomy,SV_disbelief,SV_defiance,SV_skepticism,SV_relativism,SMA,InfCon,PerSti,CogMob,IndEmp1,IndEmp2,CWI,LibUnd,NolUnd,EnlUnd,PerDem,DemDes,EnlDes,MobPot,PerFai,StaTru,IngTru,OutTru,UnsTru,GenTru,AssAct1,AssAct2,AssAct3,AssAct,FinSat,PerHea,PerCho,Happy,LifSat,WilFig,cname,ccode,ccodealp,cname_year,ccodealp_year,ccodecow,ccodewb,ccodeyear,latest
0,2.0,21998.0,Albania,1998.0,1994-1999,23.0,Orthodox East,0.3387162130916413,0.4580973763782696,-0.1817805908541195,0.4719886742043546,0.4547662759207304,0.6040097698751842,0.393257237670215,0.15751350050150553,0.5254204742268039,0.2819486152819488,0.4842537018369175,0.4258579238287827,0.41834317155375683,0.5611447948457102,0.30096037433155115,,,,,0.3085020294942695,0.36162657134550297,,,,,,,,,0.27,,,,,0.031133671742808833,0.12951807228915663,0.1236504723346828,0.08447521865889195,0.4028906955736223,0.7469849246231156,0.41466805700382303,0.417683557394002,0.41837305583529116,0.8135838150289018,Albania,8.0,ALB,Albania 1998,ALB98,339.0,8.0,81998.0,
1,2.0,22002.0,Albania,2002.0,1999-2004,24.0,Orthodox East,0.3611919362881072,0.3995860123011907,-0.3797567463906813,0.43694645425925976,0.4080824322222225,0.19743227326347554,0.25093877551020477,0.199500703933748,0.5476278343516631,0.4406666666666665,0.43986530505455124,0.3763753653653638,0.462227796791446,0.47170430107526873,0.29195230798335137,,,,,0.3768632694630539,0.36162657134550297,,,,,,,,,0.24369747899159663,,,,,,,,,0.4175016700066794,0.7402402402402403,0.5557858376511238,0.5257200402819775,0.4628145179247389,0.7174770039421814,Albania,8.0,ALB,Albania 2002,ALB02,339.0,8.0,82002.0,1.0
2,3.0,32002.0,Algeria,2002.0,1999-2004,34.0,Islamic East,0.29413926484964553,0.2986200975800155,-1.0320601858534846,0.2975905451781687,0.2825361200381346,-0.37400107182733333,0.187098317560464,0.3077573857257435,0.4074273312236307,0.27223088923556993,0.30138632876952626,0.2603233727966319,0.4126149213286735,0.23727119536598204,0.23334111751784747,,,,,0.3760631785524472,0.19723726144313114,,,,,,,,,0.11219512195121951,,,,,,,,,0.5469145500567344,0.6190102120974077,0.6283620849564103,0.6499353274050118,0.5193940985903168,,Algeria,12.0,DZA,Algeria 2002,DZA02,615.0,12.0,122002.0,
3,3.0,32013.0,Algeria,2013.0,2010-2014,36.0,Islamic East,0.32404166316458166,0.30365930817807696,-0.9447802623103725,0.3544595745282383,0.21578329178981487,-0.7679097951033838,0.22393999604586917,0.3388588729874793,0.37573631533847485,0.35583333333333383,0.22609331569664917,0.20061142452563085,0.4518154718083572,0.5528675022381379,0.22018373819163314,0.5986682220278029,0.43532338308457785,0.4395460298961626,0.3967517213688104,0.3353493341151423,0.19723726144313114,0.7454595923546696,0.49189814814814803,0.6267146776406028,0.5319803198031992,0.79085554557253,0.49745066025035023,0.48111338378568874,0.49052201808107404,0.17928633594429938,0.6876934015927126,0.22971374045801687,0.33237980527953465,0.33880185568591425,0.03416666666666668,0.05708333333333333,0.021944444444444447,0.03220238095238098,0.5542361700122529,0.6018596787827553,0.6294382237534716,0.6481481481481451,0.5890032399466385,0.833170731707317,,,,,,,,,1.0
4,4.0,42005.0,Andorra,2005.0,2005-2007,45.0,Old West,0.6777034746685865,0.788488256526716,2.101633374284864,0.5203076520701523,0.614964308640744,1.085258866816479,0.776402301402304,0.6335844,0.8025090233333261,0.4998338318378211,0.6721677079174944,0.5581512441783053,0.5081223210633918,0.34032833333333357,0.4662822854291427,0.49650698602794413,0.5943471793111351,0.5904807620055691,0.568275554396444,0.5812100886102577,0.41540000000000005,0.9224290280127859,0.3230874316939905,0.800906795224979,0.48555895344886235,0.8778110114102189,0.7100421715144818,0.6287790659651789,0.5062715062715066,0.20724346076458752,0.6668102872411441,0.4864856557377087,0.35612679211469556,0.4733616014768668,0.19707544034562957,0.22233300099700898,0.08965402528276781,0.15426290276589655,0.5872382851445672,0.7918743768693918,0.747172322022625,0.7297091273821458,0.681732580037668,0.4108606557377049,Andorra,20.0,AND,Andorra 2005,AND05,232.0,20.0,202005.0,1.0
5,7.0,71984.0,Argentina,1984.0,1981-1984,71.0,Latin America,0.42716268104930644,0.4014327987231618,,0.41880430341409763,0.3660965536082494,,0.2682244960426772,0.37532298378378504,,0.48524046434494283,0.3071216216216215,0.39189560439560234,0.6152952366565902,0.3031706666666669,0.28577783902976844,,,,,,0.23089708651556237,,,,,,,,,0.26096491228070173,,,,,0.037147595356550586,0.0791044776119403,0.05257048092868987,0.049751243781094606,0.5024302023284728,0.6324435318275154,0.6723036452461484,0.6428571428571448,0.6411133926534338,0.5934640522875817,Argentina,32.0,ARG,Argentina 1984,ARG84,160.0,32.0,321984.0,
6,7.0,71991.0,Argentina,1991.0,1989-1993,72.0,Latin America,0.46980326202773026,0.4329565295620163,,0.3782356302330844,0.33141267106599187,,0.3384332506949139,0.4760075277497491,,0.4743845642049237,0.2657441860465112,0.34431945889698035,0.6612707917498277,0.18021102150537635,0.19994464346639326,,,,,,0.23089708651556237,,,,,,,,,0.23309053069719043,,,,,,,,,0.4787282190540853,0.6667505030181087,0.6949054863992651,0.6853853955375263,0.6947804659498232,0.6300268096514745,Argentina,32.0,ARG,Argentina 1991,ARG91,160.0,32.0,321991.0,
7,7.0,71995.0,Argentina,1995.0,1994-1999,73.0,Latin America,0.5046849849834779,0.5116065695373816,0.5573867502881078,0.41748694289693555,0.37175348695114363,-0.22473937052104476,0.3811861718997782,0.5446568126747452,0.646385772128057,0.4479456286685204,0.37019153345724765,0.3727190770190196,0.6674284774436023,0.26432961240310054,0.23751070536828867,,,,,0.3796002542252356,0.23089708651556237,,,,,,,,,0.17568850902184235,,,,,0.08310163731850478,0.242354031510658,0.05653382761816499,0.0944657751886664,0.4402868724664796,0.6789719626168225,0.6767094017094046,0.6960205992509367,0.6585088806278426,0.6698513800424628,Argentina,32.0,ARG,Argentina 1995,ARG95,160.0,32.0,321995.0,
8,7.0,71999.0,Argentina,1999.0,1999-2004,74.0,Latin America,0.4811869007787425,0.4987257231664639,0.6564363372155424,0.3747433276865606,0.324822960937499,-0.6372180817451604,0.3460276274651276,0.5089974681528671,0.6559453259141458,0.4127604166666675,0.3497902719138201,0.2995527847439917,0.6544178802992568,0.2179587575045682,0.18991908559276927,,,,,0.342445104037115,0.23089708651556237,,,,,,,,,0.15865384615384615,,,,,,,,,0.498812351543944,0.7074175824175825,0.7103795153177903,0.7030314960629903,0.6998773221170732,0.6456400742115028,Argentina,32.0,ARG,Argentina 1999,ARG99,160.0,32.0,321999.0,
9,7.0,72006.0,Argentina,2006.0,2005-2007,75.0,Latin America,0.49827890746624376,0.559203789449107,1.0242082380186468,0.40202403906162865,0.3644363423153684,-0.41097801012802804,0.461613648980887,0.4379246358974372,0.6719450772399551,0.4271457085828337,0.4054411266511245,0.3230453560682047,0.6860578124999934,0.18516410781303308,0.27225887265135684,0.22459349593495934,0.3974322260404738,0.38067334420542126,0.37033935283554037,0.39231811092992913,0.23089708651556237,0.9158659768415874,0.39686537923313847,0.7575321435425066,0.6635514018691605,0.9011595181807975,0.6876730265619158,0.586006072645735,0.43888297242929897,0.1688708036622584,0.7365323691459996,0.48336797536566894,0.3036078149346764,0.46516165851386,0.09564204923486364,0.28542914171656686,0.06420492348636062,0.10928143712574821,0.6067251461988311,0.7717282717282717,0.7619047619047655,0.718417338709677,0.7445002791736506,0.5790067720090294,Argentina,32.0,ARG,Argentina 2006,ARG06,160.0,32.0,322006.0,
